Date and Hour,Date,StartHour,EndHour,"Source(0: Wind, 1: Solar)",Production,dayOfYear,dayName,monthName
2020-01-01 00:00:00+01:00,2020/1/1,0,1,0,3549.0,1,Wednesday,January
2020-01-01 00:00:00+01:00,2020/1/1,0,1,1,0.0,1,Wednesday,January
2020-01-01 01:00:00+01:00,2020/1/1,1,2,1,0.0,1,Wednesday,January
2020-01-01 01:00:00+01:00,2020/1/1,1,2,0,2952.0,1,Wednesday,January
2020-01-01 02:00:00+01:00,2020/1/1,2,3,1,0.0,1,Wednesday,January
2020-01-01 02:00:00+01:00,2020/1/1,2,3,0,2722.0,1,Wednesday,January
2020-01-01 03:00:00+01:00,2020/1/1,3,4,0,2753.0,1,Wednesday,January
2020-01-01 03:00:00+01:00,2020/1/1,3,4,1,0.0,1,Wednesday,January
2020-01-01 04:00:00+01:00,2020/1/1,4,5,0,2707.0,1,Wednesday,January
2020-01-01 04:00:00+01:00,2020/1/1,4,5,1,0.0,1,Wednesday,January
2020-01-01 05:00:00+01:00,2020/1/1,5,6,1,0.0,1,Wednesday,January
2020-01-01 05:00:00+01:00,2020/1/1,5,6,0,2579.0,1,Wednesday,January
2020-01-01 06:00:00+01:00,2020/1/1,6,7,0,2320.0,1,Wednesday,January
2020-01-01 06:00:00+01:00,2020/1/1,6,7,1,0.0,1,Wednesday,January
2020-01-01 07:00:00+01:00,2020/1/1,7,8,0,2064.0,1,Wednesday,January
2020-01-01 07:00:00+01:00,2020/1/1,7,8,1,0.0,1,Wednesday,January
2020-01-01 08:00:00+01:00,2020/1/1,8,9,0,1803.0,1,Wednesday,January
2020-01-01 08:00:00+01:00,2020/1/1,8,9,1,28.0,1,Wednesday,January
2020-01-01 09:00:00+01:00,2020/1/1,9,10,0,1623.0,1,Wednesday,January
2020-01-01 09:00:00+01:00,2020/1/1,9,10,1,310.0,1,Wednesday,January
2020-01-01 10:00:00+01:00,2020/1/1,10,11,1,780.0,1,Wednesday,January
2020-01-01 10:00:00+01:00,2020/1/1,10,11,0,1505.0,1,Wednesday,January
2020-01-01 11:00:00+01:00,2020/1/1,11,12,0,1437.0,1,Wednesday,January
2020-01-01 11:00:00+01:00,2020/1/1,11,12,1,1166.0,1,Wednesday,January
2020-01-01 12:00:00+01:00,2020/1/1,12,13,0,1178.0,1,Wednesday,January
2020-01-01 12:00:00+01:00,2020/1/1,12,13,1,1359.0,1,Wednesday,January
2020-01-01 13:00:00+01:00,2020/1/1,13,14,1,1339.0,1,Wednesday,January
2020-01-01 13:00:00+01:00,2020/1/1,13,14,0,857.0,1,Wednesday,January
2020-01-01 14:00:00+01:00,2020/1/1,14,15,1,1064.0,1,Wednesday,January
2020-01-01 14:00:00+01:00,2020/1/1,14,15,0,740.0,1,Wednesday,January
2020-01-01 15:00:00+01:00,2020/1/1,15,16,0,763.0,1,Wednesday,January
2020-01-01 15:00:00+01:00,2020/1/1,15,16,1,592.0,1,Wednesday,January
2020-01-01 16:00:00+01:00,2020/1/1,16,17,0,853.0,1,Wednesday,January
2020-01-01 16:00:00+01:00,2020/1/1,16,17,1,164.0,1,Wednesday,January
2020-01-01 17:00:00+01:00,2020/1/1,17,18,1,16.0,1,Wednesday,January
2020-01-01 17:00:00+01:00,2020/1/1,17,18,0,932.0,1,Wednesday,January
2020-01-01 18:00:00+01:00,2020/1/1,18,19,0,1072.0,1,Wednesday,January
2020-01-01 18:00:00+01:00,2020/1/1,18,19,1,3.0,1,Wednesday,January
2020-01-01 19:00:00+01:00,2020/1/1,19,20,0,1180.0,1,Wednesday,January
2020-01-01 19:00:00+01:00,2020/1/1,19,20,1,0.0,1,Wednesday,January
2020-01-01 20:00:00+01:00,2020/1/1,20,21,1,0.0,1,Wednesday,January
2020-01-01 20:00:00+01:00,2020/1/1,20,21,0,1263.0,1,Wednesday,January
2020-01-01 21:00:00+01:00,2020/1/1,21,22,1,0.0,1,Wednesday,January
2020-01-01 21:00:00+01:00,2020/1/1,21,22,0,1227.0,1,Wednesday,January
2020-01-01 22:00:00+01:00,2020/1/1,22,23,0,1169.0,1,Wednesday,January
2020-01-01 22:00:00+01:00,2020/1/1,22,23,1,0.0,1,Wednesday,January
2020-01-01 23:00:00+01:00,2020/1/1,23,24,0,1184.0,1,Wednesday,January
2020-01-01 23:00:00+01:00,2020/1/1,23,24,1,0.0,1,Wednesday,January
2020-01-02 00:00:00+01:00,2020/1/2,0,1,1,0.0,2,Thursday,January
2020-01-02 00:00:00+01:00,2020/1/2,0,1,0,1262.0,2,Thursday,January
2020-01-02 01:00:00+01:00,2020/1/2,1,2,1,0.0,2,Thursday,January
2020-01-02 01:00:00+01:00,2020/1/2,1,2,0,1375.0,2,Thursday,January
2020-01-02 02:00:00+01:00,2020/1/2,2,3,0,1439.0,2,Thursday,January
2020-01-02 02:00:00+01:00,2020/1/2,2,3,1,0.0,2,Thursday,January
2020-01-02 03:00:00+01:00,2020/1/2,3,4,0,1561.0,2,Thursday,January
2020-01-02 03:00:00+01:00,2020/1/2,3,4,1,0.0,2,Thursday,January
2020-01-02 04:00:00+01:00,2020/1/2,4,5,1,0.0,2,Thursday,January
2020-01-02 04:00:00+01:00,2020/1/2,4,5,0,1608.0,2,Thursday,January
2020-01-02 05:00:00+01:00,2020/1/2,5,6,0,1769.0,2,Thursday,January
2020-01-02 05:00:00+01:00,2020/1/2,5,6,1,0.0,2,Thursday,January
2020-01-02 06:00:00+01:00,2020/1/2,6,7,0,1898.0,2,Thursday,January
2020-01-02 06:00:00+01:00,2020/1/2,6,7,1,0.0,2,Thursday,January
2020-01-02 07:00:00+01:00,2020/1/2,7,8,1,0.0,2,Thursday,January
2020-01-02 07:00:00+01:00,2020/1/2,7,8,0,2087.0,2,Thursday,January
2020-01-02 08:00:00+01:00,2020/1/2,8,9,1,13.0,2,Thursday,January
2020-01-02 08:00:00+01:00,2020/1/2,8,9,0,2251.0,2,Thursday,January
2020-01-02 09:00:00+01:00,2020/1/2,9,10,1,272.0,2,Thursday,January
2020-01-02 09:00:00+01:00,2020/1/2,9,10,0,2507.0,2,Thursday,January
2020-01-02 10:00:00+01:00,2020/1/2,10,11,0,2666.0,2,Thursday,January
2020-01-02 10:00:00+01:00,2020/1/2,10,11,1,790.0,2,Thursday,January
2020-01-02 11:00:00+01:00,2020/1/2,11,12,0,2791.0,2,Thursday,January
2020-01-02 11:00:00+01:00,2020/1/2,11,12,1,1050.0,2,Thursday,January
2020-01-02 12:00:00+01:00,2020/1/2,12,13,1,1269.0,2,Thursday,January
2020-01-02 12:00:00+01:00,2020/1/2,12,13,0,2897.0,2,Thursday,January
2020-01-02 13:00:00+01:00,2020/1/2,13,14,0,2981.0,2,Thursday,January
2020-01-02 13:00:00+01:00,2020/1/2,13,14,1,1166.0,2,Thursday,January
2020-01-02 14:00:00+01:00,2020/1/2,14,15,0,3200.0,2,Thursday,January
2020-01-02 14:00:00+01:00,2020/1/2,14,15,1,948.0,2,Thursday,January
2020-01-02 15:00:00+01:00,2020/1/2,15,16,0,3511.0,2,Thursday,January
2020-01-02 15:00:00+01:00,2020/1/2,15,16,1,586.0,2,Thursday,January
2020-01-02 16:00:00+01:00,2020/1/2,16,17,0,4069.0,2,Thursday,January
