Alloy,Tensile Strength: Ultimate (UTS) (psi),Melting Completion (Liquidus),Al,As,B,C,Ca,Ce,Co,Cr,Cu,Fe,La,Mg,Mn,Mo,N,Nb,Ni,O,P,Pb,S,Se,Si,Sn,Ta,Ti,V,W,Zn,Zr
"ACI-ASTM CA15 (SCS1,J91150) Cast Stainless Steel",700.0,1440.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,12.75,0.0,85.15,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CA15M (J91151) Cast Stainless Steel,690.0,1450.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,12.75,0.0,85.25,0.0,0.0,0.5,0.575,0.0,0.0,0.5,0.0,0.02,0.0,0.02,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CA28MWV (J91422) Cast Stainless Steel,1080.0,1470.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,11.75,0.0,83.6,0.0,0.0,0.75,1.1,0.0,0.0,0.75,0.0,0.015,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.25,1.1,0.0,0.0
"ACI-ASTM CA40 (SCS2A,J91153) Cast Stainless Steel",910.0,1440.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,12.75,0.0,84.9,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CA40F (J91154) Cast Stainless Steel,770.0,1430.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,12.75,0.0,84.94999999999999,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.02,0.0,0.3,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CA6N (J91650) Cast Stainless Steel,1080.0,1440.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,11.5,0.0,80.7,0.0,0.0,0.25,0.0,0.0,0.0,7.0,0.0,0.01,0.0,0.01,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CA6NM (J91540) Cast Stainless Steel,850.0,1450.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,12.75,0.0,81.5,0.0,0.0,0.5,0.7,0.0,0.0,4.0,0.0,0.02,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CB30 (J91803) Cast Stainless Steel,500.0,1430.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,19.5,0.6,77.45,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CB6 (J91804) Cast Stainless Steel,880.0,1440.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,16.5,0.0,77.7,0.0,0.0,0.5,0.25,0.0,0.0,4.5,0.0,0.02,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CB7Cu-1 (J92180) Cast Stainless Steel,960.0,1430.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,16.6,2.85,75.35,0.0,0.0,0.35,0.0,0.025,0.175,4.1,0.0,0.0175,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CB7Cu-2 (J92110) Cast Stainless Steel,960.0,1430.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,14.75,2.85,76.3,0.0,0.0,0.35,0.0,0.025,0.175,5.0,0.0,0.0175,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CC50 (J92615) Cast Stainless Steel,430.0,1420.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,28.0,0.0,68.45,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CD3MCuN (ASTM A890 Grade 1C, J93373) Cast Stainless Steel",790.0,1440.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,25.35,1.65,62.05,0.0,0.0,0.6,3.35,0.275,0.0,6.15,0.0,0.015,0.0,0.015,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CD3MN (ASTM A890 Grade 4A, J92205) Cast Stainless Steel",710.0,1450.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,22.25,0.5,67.25,0.0,0.0,0.75,3.0,0.2,0.0,5.5,0.0,0.02,0.0,0.01,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CD3MWCuN (ASTM A890 Grade 6A, J93380) Cast Stainless Steel",790.0,1460.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,25.0,0.75,60.95,0.0,0.0,0.75,3.5,0.25,0.0,7.5,0.0,0.015,0.0,0.0125,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0
"ACI-ASTM CD4MCu (ASTM A890 Grade 1A, J93370) Cast Stainless Steel",770.0,1430.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,25.5,3.05,63.1,0.0,0.0,0.5,2.05,0.0,0.0,5.4,0.0,0.02,0.0,0.02,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CD4MCuN (ASTM A890 Grade 1B, J93372) Cast Stainless Steel",770.0,1420.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,25.5,3.0,62.9,0.0,0.0,0.5,2.0,0.175,0.0,5.35,0.0,0.02,0.0,0.02,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
