,Train,Test
0,421.84051781273405,737.5829318792912
1,528.7505948867562,927.0641094735649
2,527.3190268856827,727.1670648702711
3,638.7633587506194,735.061948268387
4,537.8452716490166,862.7813874504042
5,474.7462912396332,745.8637397004082
6,546.5561393787874,791.8049341110769
7,501.0075232892577,694.1478114451777
8,563.8772811968897,754.2276895693745
9,495.9205626463888,802.1435442161185
10,461.1940267864258,862.9897161068712
11,657.4314141503982,827.7561971866696
12,465.24318306288455,981.0112191014701
13,448.92769187195955,795.0189238142648
14,448.06832110778294,852.9900176723803
15,501.67343646018196,853.5861482493241
16,433.7430027075585,883.934184578368
17,437.96196576991844,972.7131289263434
18,575.7181207118914,795.7144705158998
19,607.0967449194811,878.1254087229383
20,546.2618683174771,722.2370817375479
21,523.8624901052822,723.7071219321499
22,658.6104529500822,755.2710537419924
23,514.4735931161202,801.6546874785073
24,746.5304065557198,863.7885523415929
25,435.8049804915744,762.4806666598497
26,475.71730289129306,745.9778539997101
27,524.8421790649767,896.6325423632766
28,571.9649149397944,662.3623470585433
29,464.93983274913586,766.8424336338663
