,Train,Test
0,1363.4632416620686,1512.3825643114685
1,1291.7903508289,1369.1141220390164
2,1365.0035670165535,1333.4098129107444
3,1380.4056501710156,1372.867839293596
4,1329.845424391145,1326.8277762832172
5,1408.541152804697,1465.5255563278315
6,1327.7169485453387,1316.9170911640565
7,1465.7672974888274,1495.8667777133987
8,1436.758662363657,1458.653413683319
9,1422.564580124807,1446.5353579040739
10,1489.0029467402237,1651.5308050411898
11,1403.6988874080848,1456.7081146372461
12,1385.9646794732275,1393.0384656091398
13,1391.8702081985189,1387.6721965219308
14,1329.6270694132913,1314.300122688878
15,1455.0764815566033,1477.6757439190326
16,1411.5137407907782,1370.4912136408122
17,1354.8030205896835,1336.6271411965768
18,1332.9311782317968,1331.8189394583635
19,1381.8969824315689,1398.5262369425418
20,1365.0059726906998,1435.2482980597235
21,1340.4409573820374,1412.5173450262478
22,1270.7762826824958,1212.9677448308344
23,1379.6502631450685,1341.3640639600173
24,1432.7973192633476,1484.5372314855113
25,1384.1507165827634,1374.1629762938117
26,1317.6030758443906,1390.068298681759
27,1295.2151485045931,1278.5701038334453
28,1403.3574604371852,1372.7669101429176
29,1230.2059961436787,1199.271471560964
